Timestamp,InstanceId,BotId,Name,Value
636151705747962894,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_leader",Bot.EventsReceived,0
636151705767437970,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-1",Bot.EventsReceived,0
636151705788078292,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-2",Bot.EventsReceived,0
636151705799063902,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_leader",Bot.EventsReceived,10
636151705799063902,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_leader",Bot.ProcessedEvents,10
636151705799343907,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-1",Bot.EventsReceived,10
636151705799343907,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-1",Bot.ProcessedEvents,10
636151705808230058,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-3",Bot.EventsReceived,0
636151705819434046,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-2",Bot.EventsReceived,10
636151705819434046,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-2",Bot.ProcessedEvents,10
636151705826445585,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_leader",Bot.EventsReceived,20
636151705826565652,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-3",Bot.EventsReceived,10
636151705826565652,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-3",Bot.ProcessedEvents,10
636151705826694090,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_leader",Bot.ProcessedEvents,20
636151705826854090,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-1",Bot.EventsReceived,20
636151705827824811,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-1",Bot.ProcessedEvents,20
636151705827834817,"loadtest__sample-0__0","loadtest__sample-0__0:conreign-load-test-0_bot-2",Bot.EventsReceived,20
